DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA ,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm_Cd1,Crm_Cd2,Crm_Cd3,Crm_Cd4,LOCATION,Cross Street,LAT,LON
191713601,8/1/2019 0:00,7/29/2019 0:00,1200,17,Devonshire,1737,2,354,THEFT OF IDENTITY,1822 0928,43,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,16400    CHATSWORTH                   ST,,34.2703,-118.4959
191821455,10/14/2019 0:00,10/13/2019 0:00,2200,18,Southeast,1841,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,500 W  108TH                        ST,,33.9383,-118.2826
190117525,7/3/2019 0:00,7/3/2019 0:00,720,1,Central,153,2,762,LEWD CONDUCT,2004 0910 0506,39,M,H,917,MTA - PURPLE LINE - PERSHING SQUARE,,,IC,Invest Cont,762,,,,500 S  HILL                         ST,,34.0488,-118.2518
191509779,4/21/2019 0:00,4/21/2019 0:00,730,15,N Hollywood,1513,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0408 2000 1202 1813,73,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,236,,,,6700    RHODES                       AV,,34.1925,-118.403
191505856,2/4/2019 0:00,2/4/2019 0:00,1600,15,N Hollywood,1595,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1202,83,F,W,402,MARKET,,,IC,Invest Cont,440,,,,11900    VENTURA                      BL,,34.1427,-118.3908
190610095,4/15/2019 0:00,3/31/2019 0:00,1935,6,Hollywood,637,1,310,BURGLARY,0344 0352 1601 1605 1300 1309,34,F,B,221,PUBLIC STORAGE,,,AA,Adult Arrest,310,,,,1800    VINE                         ST,,34.1038,-118.3267
191500896,5/31/2019 0:00,5/29/2019 0:00,1500,15,N Hollywood,1545,1,310,BURGLARY,2043 0321 1414 1607 1609 0344,39,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,5400    GENTRY                       AV,,34.1687,-118.3932
192104747,1/17/2019 0:00,1/17/2019 0:00,1815,21,Topanga,2197,1,310,BURGLARY,1601 0321 0344 1202,74,F,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,5000    ARUNDEL                      DR,,34.1618,-118.5633
191708658,4/12/2019 0:00,4/9/2019 0:00,1500,17,Devonshire,1793,2,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0416 0360 1258 1251 2021,12,M,H,501,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,627,,,,19000    BRYANT                       ST,,34.2272,-118.5471
191407389,2/25/2019 0:00,1/13/2019 0:00,950,14,Pacific,1495,2,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",1237 0325 1300,28,M,H,203,OTHER BUSINESS,,,AO,Adult Other,668,,,,9200    AIRPORT                      BL,,33.9523,-118.3906
