"area_pk","area_name","reporting_district_num"
1,"Wilshire",732
2,"Northeast",1112
3,"Harbor",551
4,"77th Street",1269
5,"Harbor",562
6,"77th Street",1267
7,"Van Nuys",948
8,"West LA",892
9,"Northeast",1148
10,"Pacific",1445
11,"Hollenbeck",455
12,"West Valley",1063
13,"Southwest",318
14,"Southeast",1822
15,"Newton",1321
16,"Wilshire",734
17,"Van Nuys",904
18,"Pacific",1415
19,"Rampart",235
20,"Hollywood",615
21,"Newton",1363
22,"N Hollywood",1506
23,"Wilshire",706
24,"77th Street",1268
25,"Central",182
26,"Foothill",1668
27,"Harbor",563
28,"Foothill",1612
29,"77th Street",1256
30,"West LA",891
31,"Southeast",1824
32,"Topanga",2177
33,"Wilshire",701
34,"Central",111
35,"West Valley",1024
36,"Northeast",1142
37,"Olympic",2071
38,"N Hollywood",1531
39,"Topanga",2162
40,"Topanga",2142
41,"Topanga",2138
42,"Wilshire",759
43,"Topanga",2143
44,"Southwest",397
45,"N Hollywood",1544
46,"Topanga",2189
47,"Hollywood",622
48,"Central",161
49,"Van Nuys",946
50,"Harbor",564
51,"Wilshire",742
52,"N Hollywood",1596
53,"Central",162
54,"West LA",831
55,"77th Street",1203
56,"Pacific",1412
57,"Topanga",2128
58,"Southeast",1821
59,"Southeast",1802
60,"Foothill",1605
61,"West LA",841
62,"Pacific",1443
63,"Harbor",513
64,"Wilshire",724
65,"Southwest",356
66,"Pacific",1466
67,"Devonshire",1771
68,"Pacific",1453
69,"Olympic",2029
70,"Pacific",1414
71,"West Valley",1015
72,"West Valley",1033
73,"Hollenbeck",409
74,"Topanga",2146
75,"West LA",842
76,"Pacific",1467
77,"Pacific",1432
78,"77th Street",1207
79,"Central",152
80,"77th Street",1258
81,"Central",185
82,"Northeast",1172
83,"Mission",1901
84,"Wilshire",753
85,"Hollywood",628
86,"Newton",1395
87,"Mission",1908
88,"Newton",1353
89,"Southwest",336
90,"Northeast",1186
91,"Olympic",2025
92,"Olympic",2024
93,"Central",121
94,"Southeast",1804
95,"Foothill",1653
