"crime_address_code","crime_address","cross_street","latitude","longitude"
1,"11900    VENTURA                      BL","N/A",34.1427,-118.391
2,"2100 W  29TH                         PL","N/A",34.0283,-118.312
3,"1300 N  HARVARD                      BL","N/A",34.0951,-118.304
4,"1900    PALM GROVE                   AV","N/A",34.0399,-118.341
5,"1200 E  7TH                          ST","N/A",34.0395,-118.241
6,"13000    SHERMAN                      WY","N/A",34.2037,-118.421
7,"11400    ROCHESTER                    AV","N/A",34.0486,-118.454
8,"8500 S  FIGUEROA                     ST","N/A",33.9611,-118.283
9,"1500    ANCHORAGE                    RD","N/A",33.7667,-118.243
10,"1500    VINE                         ST","N/A",34.0987,-118.334
11,"IMPERIAL                     HY","AVALON                       BL",33.931,-118.265
12,"11800    IOWA                         AV","N/A",34.0403,-118.456
13,"5400    SIERRA VISTA                 AV","N/A",34.0896,-118.309
14,"1200    BIG CANYON                   PL","N/A",33.7393,-118.302
15,"19900    LUBAO                        PL","N/A",34.2588,-118.568
16,"1100 S  BOYLE                        AV","N/A",34.0289,-118.221
17,"6100    ROY                          ST","N/A",34.1227,-118.186
18,"1900    TALMADGE                     ST","N/A",34.1054,-118.283
19,"12700    OTSEGO                       ST","N/A",34.1631,-118.409
20,"700 W  140TH                        ST","N/A",33.9046,-118.287
21,"6900    HASKELL                      AV","N/A",34.1957,-118.475
22,"1200    MAPLE                        AV","N/A",34.0388,-118.257
23,"600    KOHLER                       ST","N/A",34.0394,-118.241
24,"7900    GLENOAKS                     BL","N/A",34.2149,-118.351
25,"700    HARTFORD                     AV","N/A",34.0522,-118.267
26,"17600    BURBANK                      BL","N/A",34.1723,-118.516
27,"MARTIN LUTHER KING JR        BL","BUDLONG                      AV",34.0109,-118.296
28,"1100    MAPLE                        AV","N/A",34.0371,-118.255
29,"7600 S  SAN PEDRO                    ST","N/A",33.9713,-118.27
30,"9600    OWENSMOUTH                   AV","N/A",34.2447,-118.602
31,"7800    WOODLAKE                     AV","N/A",34.2119,-118.632
32,"6200 S  FIGUEROA                     ST","N/A",33.9833,-118.283
33,"N  ARGYLE                       AV","VINE                         ST",34.0944,-118.312
34,"11300    SANTA MONICA                 BL","N/A",34.0465,-118.448
35,"100 N  CITRUS                       AV","N/A",34.0736,-118.34
36,"11600    WILSHIRE                     BL","N/A",34.0511,-118.464
37,"6TH","CROCKER",34.0437,-118.245
38,"1000 S  BROADWAY","N/A",34.0409,-118.257
39,"500 N  FIGUEROA                     ST","N/A",34.0617,-118.247
40,"3400    VENICE                       BL","N/A",34.0436,-118.321
41,"100 S  BURLINGTON                   AV","N/A",34.065,-118.267
42,"4400    EXPOSITION                   BL","N/A",34.0237,-118.344
43,"5600    HOLLYWOOD                    BL","N/A",34.1017,-118.311
44,"1300 W  38TH                         ST","N/A",34.0173,-118.3
45,"1600    WESTWOOD                     BL","N/A",34.0529,-118.44
46,"600 E  COLDEN                       AV","N/A",33.9493,-118.265
47,"1000    DUNDAS                       ST","N/A",34.0497,-118.196
48,"11800    VENTURA                      BL","N/A",34.1451,-118.387
49,"8900    VENICE                       BL","N/A",34.0294,-118.388
50,"11200 W  PICO                         BL","N/A",34.0362,-118.437
51,"6700    HILLPARK                     DR","N/A",34.1173,-118.338
52,"1400    SILVER LAKE                  BL","N/A",34.0848,-118.271
53,"SHOSHONE                     AV","PARTHENIA                    ST",34.2248,-118.515
54,"10300    AVALON                       BL","N/A",33.9431,-118.265
55,"MANCHESTER                   BL","FIGUEROA",33.9601,-118.283
56,"9400    LA SALLE                     AV","N/A",33.9511,-118.306
57,"600    LAGOON                       AV","N/A",33.7768,-118.267
58,"8900    TOPANGA CANYON               BL","N/A",34.2315,-118.603
59,"WHEATLAND","GLENOAKS",34.2249,-118.362
60,"1300 E  15TH                         ST","N/A",34.0272,-118.248
61,"4600    STONER                       AV","N/A",33.9953,-118.415
62,"DE SOTO","VENTURA                      FY",34.168,-118.588
63,"21900    VANOWEN                      ST","N/A",34.1938,-118.604
64,"4100 S  FIGUEROA                     ST","N/A",34.0094,-118.283
65,"400    WORLD                        WY","N/A",33.9433,-118.407
66,"1100 W  42ND                         ST","N/A",34.0073,-118.294
