"DR_Number","Date_Reported","Date_Occurred","Time_Occurred","Area_ID","Area_Name","Reporting_District_Num","Priority_Code","Crime_Code","Crime_Code_Description","MO_Codes","Victim_Age","Victim_Sex","Victim_Descent","Premise_Code","Premise_Description","Weapon_Used_Code","Weapon_Description","Status_Code","Status_Description","Crime_Address","Cross_Street","latitude","longitude"
191505856,"2019-02-04","2019-02-04",1600,15,"N Hollywood",1595,1,440,"THEFT PLAIN - PETTY ($950 & UNDER)","0344 1202",83,"F","W",402,"MARKET","N/A","N/A","IC","Invest Cont","11900    VENTURA                      BL","N/A",34.1427,-118.391
190309242,"2019-03-21","2019-03-20",2000,3,"Southwest",336,1,420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","1300 1606 0344",40,"F","W",104,"DRIVEWAY","N/A","N/A","IC","Invest Cont","2100 W  29TH                         PL","N/A",34.0283,-118.312
190623011,"2019-11-29","2019-11-29",916,6,"Hollywood",659,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0302 0913",55,"M","H",101,"STREET","102","HAND GUN","AO","Adult Other","1300 N  HARVARD                      BL","N/A",34.0951,-118.304
190711240,"2019-05-27","2019-05-23",2000,7,"Wilshire",785,2,354,"THEFT OF IDENTITY","0929 1822",48,"F","H",501,"SINGLE FAMILY DWELLING","N/A","N/A","IC","Invest Cont","1900    PALM GROVE                   AV","N/A",34.0399,-118.341
190124752,"2019-10-07","2019-10-07",1112,1,"Central",158,1,761,"BRANDISH WEAPON","1822 0334 0910",58,"M","H",102,"SIDEWALK","200","KNIFE WITH BLADE 6INCHES OR LESS","IC","Invest Cont","1200 E  7TH                          ST","N/A",34.0395,-118.241
191514100,"2019-07-10","2019-07-09",2145,15,"N Hollywood",1511,1,320,"BURGLARY, ATTEMPTED","1607",31,"M","A",406,"OTHER STORE","N/A","N/A","IC","Invest Cont","13000    SHERMAN                      WY","N/A",34.2037,-118.421
190804781,"2019-01-19","2019-01-19",901,8,"West LA",842,2,354,"THEFT OF IDENTITY","0100 0922 0929 1822",50,"F","W",501,"SINGLE FAMILY DWELLING","N/A","N/A","IC","Invest Cont","11400    ROCHESTER                    AV","N/A",34.0486,-118.454
191217252,"2019-07-01","2019-06-30",1900,12,"77th Street",1267,1,210,"ROBBERY","0344 0342 0371 0355",26,"M","B",202,"LIQUOR STORE","113","SIMULATED GUN","IC","Invest Cont","8500 S  FIGUEROA                     ST","N/A",33.9611,-118.283
190516539,"2019-10-05","2019-10-05",500,5,"Harbor",529,1,310,"BURGLARY","0342 0358 0397",73,"X","X",221,"PUBLIC STORAGE","N/A","N/A","IC","Invest Cont","1500    ANCHORAGE                    RD","N/A",33.7667,-118.243
190622956,"2019-11-27","2019-11-27",1230,6,"Hollywood",646,1,761,"BRANDISH WEAPON","334",26,"F","W",501,"SINGLE FAMILY DWELLING","511","VERBAL THREAT","IC","Invest Cont","1500    VINE                         ST","N/A",34.0987,-118.334
191814694,"2019-06-22","2019-06-22",2100,18,"Southeast",1863,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","1309 0416 1218",53,"F","B",101,"STREET","307","VEHICLE","IC","Invest Cont","IMPERIAL                     HY","AVALON                       BL",33.931,-118.265
190805789,"2019-02-10","2019-02-10",1945,8,"West LA",852,2,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)","1202 0329 1822",60,"M","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","N/A","N/A","IC","Invest Cont","11800    IOWA                         AV","N/A",34.0403,-118.456
190620172,"2019-10-04","2019-10-04",2045,6,"Hollywood",657,2,900,"VIOLATION OF COURT ORDER","2038",49,"F","O",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","N/A","N/A","AO","Adult Other","5400    SIERRA VISTA                 AV","N/A",34.0896,-118.309
