"dr_number","date_reported","date_occurance","victim_age","victim_sex","time_ocuurance","area_id","priority_code","crime_code","premise_code","weapon_used_id","status_id","victim_descent_id","crime_address_code"
190104296,"2019-01-04","2019-01-04",43,"F",1910,534,2,624,102,6,3,2,379
190104302,"2019-01-05","2019-01-05",31,"M",230,93,1,330,101,0,3,12,196
190104640,"2019-01-10","2019-01-10",34,"F",805,79,2,624,940,6,3,7,179
190104896,"2019-01-14","2019-01-14",57,"F",1220,563,1,761,101,20,3,7,310
190105240,"2019-01-20","2019-01-20",48,"M",355,296,2,624,502,9,3,7,312
190106092,"2019-01-30","2019-01-29",26,"F",709,278,1,440,504,0,3,3,334
190106757,"2019-02-10","2019-02-09",30,"M",1600,170,1,230,102,26,3,17,562
190106901,"2019-02-12","2019-02-12",28,"M",1437,270,2,740,122,0,3,7,510
190108596,"2019-03-07","2019-03-07",20,"M",2115,462,2,930,203,9,2,7,286
190109673,"2019-03-22","2019-02-09",25,"F",1200,223,2,956,502,0,3,7,249
190110023,"2019-03-27","2019-03-27",28,"M",300,170,1,210,101,6,3,7,125
190110246,"2019-04-01","2019-03-31",30,"M",1800,48,1,330,101,0,3,2,692
190111211,"2019-04-13","2019-04-13",24,"M",2000,488,2,624,102,6,3,7,623
190111467,"2019-04-17","2019-04-15",66,"M",1000,345,1,341,203,0,3,7,440
190112742,"2019-05-03","2019-05-03",54,"F",245,164,1,341,503,0,3,2,582
190114858,"2019-05-31","2019-05-31",21,"F",1200,296,1,420,101,0,3,2,366
190115581,"2019-06-09","2019-06-09",18,"M",1840,618,1,230,101,6,3,7,701
190116091,"2019-06-16","2019-06-10",23,"F",600,129,1,330,108,0,3,7,305
190116653,"2019-06-23","2019-06-23",28,"M",1400,181,2,946,726,0,2,2,163
190116657,"2019-06-23","2019-06-23",35,"M",1430,303,2,626,502,9,2,7,566
190116710,"2019-06-24","2019-06-24",41,"M",850,357,1,420,101,0,3,2,200
190117240,"2019-06-30","2019-06-30",30,"M",215,79,1,230,101,6,1,7,470
190117846,"2019-07-08","2019-07-08",17,"F",1030,81,2,956,123,0,2,7,22
190118227,"2019-07-12","2019-07-12",32,"M",1630,545,1,440,710,0,3,2,273
190119078,"2019-07-21","2019-07-21",41,"M",130,451,1,330,101,0,3,17,481
190119816,"2019-08-01","2019-08-01",32,"M",1800,53,2,624,102,6,3,17,213
190120162,"2019-08-06","2019-08-06",63,"F",230,79,2,624,102,6,3,17,702
190120748,"2019-08-13","2019-08-13",53,"M",1430,410,1,480,102,0,3,17,562
190121566,"2019-08-24","2019-08-24",36,"M",1436,357,1,330,108,0,3,2,590
190122158,"2019-09-02","2019-09-02",55,"F",1135,545,1,210,102,6,3,2,273
190122650,"2019-09-08","2019-09-08",24,"F",130,534,1,350,735,0,3,2,495
190123002,"2019-09-13","2019-09-13",52,"M",1220,53,2,624,401,6,3,17,389
190124752,"2019-10-07","2019-10-07",58,"M",1112,512,1,761,102,2,3,7,5
190124954,"2019-10-11","2019-10-11",4,"F",1200,223,2,627,501,6,2,2,664
190125034,"2019-10-13","2019-10-12",35,"M",1800,296,1,330,108,0,3,1,656
190125265,"2019-10-16","2019-10-16",65,"F",2030,170,1,220,102,6,3,7,732
190125399,"2019-10-18","2019-10-18",20,"F",1059,53,1,442,404,0,4,7,319
190126469,"2019-11-03","2019-10-17",24,"F",1700,25,1,341,502,0,3,17,608
190126779,"2019-11-07","2019-11-07",53,"F",1800,181,2,626,101,6,3,2,37
190127604,"2019-11-20","2019-11-20",48,"M",1830,512,1,330,101,0,3,7,23
190127778,"2019-11-22","2019-06-11",23,"M",1800,34,1,440,717,0,3,12,39
190127923,"2019-11-24","2019-11-24",19,"M",1745,223,1,480,102,0,3,17,667
190128568,"2019-12-04","2019-12-01",19,"F",2000,488,2,626,101,6,3,17,370
190130087,"2019-12-26","2019-12-26",27,"M",705,270,2,888,834,0,3,7,510
190130218,"2019-12-27","2019-12-26",61,"M",1450,641,2,624,102,6,3,17,272
190204280,"2019-01-03","2019-01-01",23,"F",2230,448,1,330,101,0,3,7,210
190204744,"2019-01-14","2019-01-14",56,"M",1440,147,2,626,502,9,2,7,506
190205676,"2019-02-03","2019-02-03",36,"M",30,308,1,230,102,22,3,7,128
190207031,"2019-02-26","2019-02-26",52,"M",900,147,2,354,518,0,3,17,138
190207484,"2019-03-04","2019-03-04",26,"M",1320,201,2,625,502,6,3,7,178
190208083,"2019-03-15","2019-03-15",16,"M",900,111,1,210,102,12,3,12,71
190208251,"2019-03-18","2019-03-12",58,"M",1400,643,2,354,504,0,3,7,453
190209482,"2019-04-09","2019-04-08",28,"M",900,501,1,440,108,0,3,17,721
190209661,"2019-04-14","2019-04-14",27,"M",300,600,1,210,101,1,3,2,731
190210725,"2019-05-03","2019-05-03",23,"F",130,139,1,330,108,0,3,7,99
190210894,"2019-05-07","2019-05-07",14,"M",1350,412,1,761,102,2,3,7,112
190211547,"2019-05-18","2019-05-18",27,"F",100,401,1,330,101,0,3,7,175
190211897,"2019-05-23","2019-05-23",42,"F",2200,677,1,236,501,6,2,12,573
190212270,"2019-05-30","2019-05-30",18,"X",1700,147,1,210,404,15,3,18,216
190215332,"2019-07-23","2019-07-23",47,"F",915,677,2,624,103,6,2,1,497
190215799,"2019-08-02","2019-07-26",23,"F",2213,19,2,740,122,0,3,7,123
190215856,"2019-08-03","2019-08-03",39,"F",2240,412,1,230,502,8,2,7,25
190216758,"2019-08-17","2019-08-15",43,"M",1107,501,2,624,502,6,3,17,267
190216805,"2019-08-18","2019-08-18",31,"F",615,472,1,480,121,0,3,7,674
190217019,"2019-08-21","2019-08-21",90,"M",1245,308,2,740,122,0,3,17,403
190217432,"2019-08-27","2019-08-27",19,"M",1845,190,1,761,101,1,3,7,433
190217536,"2019-08-29","2019-08-29",55,"F",1000,424,1,121,101,6,3,17,323
190218321,"2019-09-12","2019-09-12",24,"M",2040,689,1,761,108,1,3,7,725
190218532,"2019-09-17","2019-09-16",34,"F",1510,491,2,624,101,6,3,7,41
190219258,"2019-09-30","2019-09-30",33,"F",915,247,2,624,904,6,3,17,587
