"crime_code","crime_code_description"
110,"CRIMINAL HOMICIDE"
121,"RAPE, FORCIBLE"
210,"ROBBERY"
220,"ATTEMPTED ROBBERY"
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
231,"ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER"
235,"CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT"
236,"INTIMATE PARTNER - AGGRAVATED ASSAULT"
237,"CHILD NEGLECT (SEE 300 W.I.C.)"
250,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT"
251,"SHOTS FIRED AT INHABITED DWELLING"
310,"BURGLARY"
320,"BURGLARY, ATTEMPTED"
330,"BURGLARY FROM VEHICLE"
331,"THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER)"
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
343,"SHOPLIFTING-GRAND THEFT ($950.01 & OVER)"
350,"THEFT, PERSON"
351,"PURSE SNATCHING"
352,"PICKPOCKET"
354,"THEFT OF IDENTITY"
410,"BURGLARY FROM VEHICLE, ATTEMPTED"
420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)"
421,"THEFT FROM MOTOR VEHICLE - ATTEMPT"
433,"DRIVING WITHOUT OWNER CONSENT (DWOC)"
434,"FALSE IMPRISONMENT"
440,"THEFT PLAIN - PETTY ($950 & UNDER)"
442,"SHOPLIFTING - PETTY THEFT ($950 & UNDER)"
480,"BIKE - STOLEN"
520,"VEHICLE - ATTEMPT STOLEN"
624,"BATTERY - SIMPLE ASSAULT"
625,"OTHER ASSAULT"
626,"INTIMATE PARTNER - SIMPLE ASSAULT"
627,"CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT"
647,"THROWING OBJECT AT MOVING VEHICLE"
649,"DOCUMENT FORGERY / STOLEN FELONY"
654,"CREDIT CARDS, FRAUD USE ($950 & UNDER"
662,"BUNCO, GRAND THEFT"
664,"BUNCO, PETTY THEFT"
666,"BUNCO, ATTEMPT"
670,"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)"
740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)"
753,"DISCHARGE FIREARMS/SHOTS FIRED"
760,"LEWD/LASCIVIOUS ACTS WITH CHILD"
761,"BRANDISH WEAPON"
762,"LEWD CONDUCT"
812,"CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)"
813,"CHILD ANNOYING (17YRS & UNDER)"
814,"CHILD PORNOGRAPHY"
815,"SEXUAL PENETRATION W/FOREIGN OBJECT"
820,"ORAL COPULATION"
821,"SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH"
822,"HUMAN TRAFFICKING - COMMERCIAL SEX ACTS"
845,"SEX OFFENDER REGISTRANT OUT OF COMPLIANCE"
850,"INDECENT EXPOSURE"
860,"BATTERY WITH SEXUAL CONTACT"
886,"DISTURBING THE PEACE"
888,"TRESPASSING"
900,"VIOLATION OF COURT ORDER"
901,"VIOLATION OF RESTRAINING ORDER"
902,"VIOLATION OF TEMPORARY RESTRAINING ORDER"
903,"CONTEMPT OF COURT"
910,"KIDNAPPING"
928,"THREATENING PHONE CALLS/LETTERS"
930,"CRIMINAL THREATS - NO WEAPON DISPLAYED"
932,"PEEPING TOM"
933,"PROWLER"
940,"EXTORTION"
946,"OTHER MISCELLANEOUS CRIME"
949,"ILLEGAL DUMPING"
956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD"
